VARIACIONS INTERANUALS MERCAT ESTRANGER;;;;;;;;;;
% var. Interanual 21/20;;;;;;;;;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS;;;;;;;;
Establiments hotelers;nd;nd;;;;;;;;
Càmpings;nd;nd;;;;;;;;
Turisme Rural;nd;nd;;;;;;;;
;;;;;;;;;;
% var. Interanual 21/19;;;;;;;;;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS;;;;;;;;
Establiments hotelers;-89,0%;-89,3%;;;;;;;;
Càmpings;-95,0%;-95,4%;;;;;;;;
Turisme Rural;-88,7%;-45,6%;;;;;;;;
;;;;;;;;;;
MERCAT ESTRANGER;ESTADA MITJANA;;;;;;;;;
Hotels;2,6;;;;;;;;;
Càmpings;4,1;;;;;;;;;
Turisme Rural;10,0;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;;;;;;;;;
