ESTABLIMENTS HOTELERS AGOST 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;583.996;35,2%;-10,3%;1.952.421;66,8%;-19,8%;73,1;19,71;-7;
Tarragona;457.561;57,8%;-12,2%;1.494.960;94,9%;-29,6%;68,6;18,9;-15,3;
Lleida;118.734;21,9%;-8,4%;305.756;19,3%;-3,2%;60,7;6,3;2,0;
Entorn de Barcelona;283.444;83,6%;-38,4%;916.604;131,2%;-47,7%;56,9;-36,9;-79,0;
Barcelonès;471.222;319,9%;-42,9%;1.330.385;446,1%;-42,0%;58,5;37,6;-23,9;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
