SINTESI JULIOL 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;366.722;79,0%;-37,5%;;;;;
Pernoctacions;1.062.630;68,2%;-53,1%;;;;;
Establiments allotjaments oberts;1.057;13,9%;-15,0%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;70,7%;29,3%;;;;;;
Pernoctacions;66,4%;33,6%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
