POSICIONAMENT ESTABLIMENTS TURISME RURAL JUNY 2021;;;;;;;;;;
;;;;;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019;;;;
Girona;21,70%;18.159;41.974;-4,3 pp;-20,9%;-21,6%;;;;
Tarragona;13,4%;3.877;9.888;-1,0 pp;-26,6%;-7,9%;;;;
Lleida;14,6%;6.932;16.111;+8,3 pp;-3,1%;-7,9%;;;;
Entorn de Barcelona;23,4%;14.448;31.878;-0,4 pp;-21,1%;-17,4%;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
Nota: Les variacions 21/20 estan disponibles, tant sols, per algunes províncies i algunes tipologies d’allotjament. La resta no són calculables (nc) degut a que;;;;;;;;;;
les dades de 2020 són “0” o prop de “0”  pel tancament forçós arrel de la crisi sanitària de la COVID-19.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
