SINTESI JUNY 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;264.410;nc;-54,7%;;;;;
Pernoctacions;654.441;nc;-64,9%;;;;;
Establiments allotjaments oberts;985;nc;-17,4%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;79,5%;20,5%;;;;;;
Pernoctacions;78,6%;21,4%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;;;;;;;
