POSICIONAMENT ESTABLIMENTS TURISME RURAL MAIG 2021;;;;;;;;;;
;;;;;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019;;;;
Girona;14,6%;13.063;27.439;-1,3 pp;-21,8%;-15,4%;;;;
Tarragona;7,9%;2.614;5.249;-3,5 pp;-39,0%;-37,3%;;;;
Lleida;8,3%;4.784;9.643;-3,3 pp;7,7%;-37,3%;;;;
Entorn de Barcelona;14,1%;9.774;19.058;-2,9 pp;-31,4%;-31,8%;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
Nota: Les variacions 21/20 estan disponibles, tant sols, per algunes províncies i algunes tipologies d’allotjament. La resta no són calculables (nc) degut a que;;;;;;;;;;
les dades de 2020 són “0” o prop de “0”  pel tancament forçós arrel de la crisi sanitària de la COVID-19.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
