SINTESI MAIG 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;175.102;nc;-64,3%;;;;;
Pernoctacions;388.026;nc;-71,8%;;;;;
Establiments allotjaments oberts;892;nc;-24,1%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;83,7%;16,3%;;;;;;
Pernoctacions;81,3%;18,7%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;;;;;;;
