ESTABLIMENTS HOTELERS NOVEMBRE 2021;;;;;;;;;
;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp)
Girona;131.461;518,60%;-20,70%;240.817;533,40%;-26,20%;31,9;21,62;-0,5
Tarragona;71.943;435,60%;-20,00%;115.322;353,80%;-30,40%;26,4;12,4;-3,9
Lleida;36.746;311,50%;-18,00%;62.847;230,20%;-18,20%;25;14,9;-0,6
Entorn de Barcelona;126.688;207,40%;-41,20%;267.156;187,20%;-34,20%;0;-17,3;-41,1
Barcelonès;457.489;672,70%;-33,50%;1.143.310;1001,80%;-29,40%;49;38,6;-11,9
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;
