SINTESI SETEMBRE 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;272.270;64,9%;-44,4%;;;;;
Pernoctacions;812.915;97,5%;-53,3%;;;;;
Establiments allotjaments oberts;1.076;14,2%;-8,4%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;65,7%;34,3%;;;;;;
Pernoctacions;55,2%;44,8%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
